문항(키워드),자기소개서,회사,직무,지원 시기,대학 분류,전공,학점,언어,경험,기타
"2. 본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품 속 가상인물도 가능)","[워킹홀리데이: 영업에 대한 흥미]제 첫 기억은 방 벽에 큼지막하게 붙어 있던 세계지도였습니다. 고등학교를 졸업하기 전까지, 지도 앞에서 글로벌한 인물이 되겠다는 막연한 꿈을 키웠습니다. 외국에서의 삶을 통해 국내에서는 경험할 수 없는 다양한 경험을 하고 싶다는 열망이 점점 커지던 중, 우연히 워킹홀리데이에 대해 알게 됐습니다. 동경하던 삶을 이룰 수 있다는 희망이 생겼고, 비교적 비자 발급이 수월한 호주로 가기로 결심했습니다. 1년 뒤, 운 좋게도 숙식이 제공되는 일자리를 구하며 호주행 비행기에 몸을 실었습니다.그러나 호주 특유의 억양을 이해하는 것이 어려웠고, 결국 한 달 만에 해고되었습니다. 급히 새로운 일자리를 찾아야 했고, 'Solar Panel Sales'라는 공고를 보고 면접을 보게 되었습니다. 다시 운이 따르긴 했지만, 3주 동안 성과를 내지 못했습니다. 제품 정보와 정부 보조금 지급 절차 등을 암기하고 스피치 연습을 했음에도, 그 누구에게도 긍정적인 답변을 받지 못했습니다.좌절하던 저에게 팀 리더가 조언을 해주었고, 이는 제 인생의 터닝포인트가 되었습니다. ""영업의 기본은 사람의 마음을 얻는 것""이라는 말에서 큰 깨달음을 얻었습니다. 그동안 누군가를 실적을 올리기 위한 수단으로만 생각했던 것이 가장 큰 문제였습니다. 이후, 실적보다는 그 사람과 좋은 관계를 맺는 것에 초점을 맞추었습니다. 이후로는 고객들에게 미소를 지으며 친근하게 다가가 제품을 소개했고 제 실적은 점차 상승하여 팀에서 성과 3등을 달성했습니다.이 경험을 통해 낯선 사람들과 쉽게 대화할 수 있는 능력, 타인을 존중하는 태도 등을 갖추게 되었습니다. 그리고 영업직을 수행하며 성취감을 느낀 이후, 영업직에 대한 흥미와 관심을 갖게 되었습니다.[영업 역량 강화의 교훈: 자신감과 준비성의 중요성]미국의 법률 사무소에서 변호사 보증 협약 관련 영업 보조 업무를 맡았습니다. 해당 제도에 대한 이해가 부족했고, 이로 인해 콜드콜을 통한 영업 활동에서 여러 의원에게 회사의 우수성을 충분히 전달하지 못했습니다. 그래서 지속해서 거절을 겪었지만, 이는 오히려 저의 도전 의식을 불태웠습니다.""20곳의 의원으로부터 긍정적인 반응을 얻는다""는 목표를 세운 후, 개인 시간을 할애하여 시장 조사와 미국의 제도에 대해 학습하는 데 매진했습니다. 특히, 의원들이 위치한 사우스캐롤라이나주에서 회사의 고객 증가 추세, 교통사고 케이스에서의 100% 승소율, 그리고 신속한 병원비 지급이라는 경쟁력 있는 서비스 포인트들을 파악했습니다. 이 정보들을 충분히 이해하고 나니, 콜드콜을 진행할 때 더욱 자신감을 가지고 접근할 수 있었고, 결국 목표치를 20% 초과 달성했습니다.이 경험을 통해 영업의 핵심 역량인 새로운 지식을 성실히 습득하는 능력과 자신감 있는 태도를 갖추게 되었습니다. 그뿐만 아니라, 실패를 두려워하지 않고 실패를 통해 배우며 발전하는 자세와 항상 준비된 마음가짐으로 영업직에서의 커리어를 쌓아가겠다는 목표를 세우는 계기가 되었습니다.",삼성디스플레이,영업마케팅,2024 상반기,전남대학교,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 로펌 인턴 2개월, 호주 거주(영업직 아르바이트 등) 2년, 현장실습 6개월, 중견기업 영업직 3개월차(지원당시)","학점 4.3/4.5 CJ주관 데이터 분석 대외활동 4개월, 봉사70시간, 대학생법원체험형 프로그램, 대학연합동아리1년, 마케팅대외활동 4개월, 기타프로젝트 2건 기타: SQLD, GTQ2급, 운전면허"
3. 최근 사회 이슈 중 중요하다고 생각되는 한 가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다.,"[메타버스의 부흥과 디스플레이 산업의 새로운 국면]코로나19로 인해 메타버스 관련 사업들이 폭발적으로 나타났지만, 엔데믹 이후 전 세계적으로 관심은 급격히 줄었습니다. 하지만 올해 초 빅테크 기업들이 관련 기기를 출시하며 메타버스는 새로운 전성기를 맞이했습니다. 이에 따라 우리 국회는 세계 최초로 메타버스 산업 진흥을 위한 법률을 8월부터 시행할 계획입니다. 메타버스와 관련한 저작권, 법적 분류를 정비하고 우선 허용 및 사후 규제 원칙을 통해 민간 중심의 자율 규제를 추진하는 방향으로 보입니다. 기술의 진보보다 법과 제도는 항상 늦게 개정되지만 이 법안은 국가 주도로 메타버스 관련 산업을 성장시키려는 의도를 확인할 수 있습니다.그런데도, 빅테크 기업들이 출시한 XR, MR 기기는 디지털 멀미의 이유로 반품 건수도 증가하는 추세입니다. 이미 우리는 사랑하는 사람들의 눈보다 전자기기와 더 많이 눈을 맞추고 있음에도 현실과 가상의 경계를 허무는 기술들은 여전히 낯선 상황입니다. 디지털 멀미 현상은 디스플레이를 통해 사용자가 보는 화면과 현실 이미지 간의 지연과 간극이 커질수록 더욱 크게 발생합니다. 즉 디스플레이의 반응속도가 빠르고 눈으로 보는 것처럼 화질이 선명할수록 사용자들이 피로감을 느끼지 않게 됩니다.이러한 상황은 디스플레이 기업의 기술력 발전은 기업의 흥망성쇠가 중요한 요소가 될 것입니다. 또한, 발전된 기술을 직접 고객들이 체험하게 함으로써 디스플레이가 또 다른 현실로 가는 '창'임을 인지시켜야 할 것입니다. 삼성디스플레이의 경우는 팬톤 인증을 받을 만큼 생생한 화질과 세계 최고의 기술력을 갖추었습니다. 그렇기에 체험 이벤트를 통해 고객들에게 메타버스로 가는 진정한 ‘창’은 삼성디스플레이임을 각인시켜야 합니다. 또한, 사용자의 애로사항인 디지털 멀미 증상을 기존의 낮은 지연 시간 등 기술과 사용자 맞춤형 디스플레이 설정을 강화하여 해결하는 지를 꾸준히 보여주면서 시장에서 우위를 점할 수 있을 것입니다.",삼성디스플레이,영업마케팅,2024 상반기,전남대학교,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 로펌 인턴 2개월, 호주 거주(영업직 아르바이트 등) 2년, 현장실습 6개월, 중견기업 영업직 3개월차(지원당시)","학점 4.3/4.5 CJ주관 데이터 분석 대외활동 4개월, 봉사70시간, 대학생법원체험형 프로그램, 대학연합동아리1년, 마케팅대외활동 4개월, 기타프로젝트 2건 기타: SQLD, GTQ2급, 운전면허"
4. 본인의 전공능력이 지원한 직무에 적합한 사유를 구체적 사례를 들어 기술해 주시기 바랍니다.,"[데이터 분석을 통한 문제 해결 능력]CJ 리모트 인턴십에서 자전거 교통사고 문제를 해결하기 위한 프로젝트를 진행했습니다. 관련 데이터를 수집했지만, 해결책을 도출하는 데 어려움을 겪었습니다. 이를 극복하기 위해, 저는 팀에 데이터가 공통으로 지시하는 방향성을 파악할 것을 제안했습니다. 이어서, 사고 발생 지역을 보다 세밀하게 동 단위로 분석했고, 버스 정류장, 지하철역, 학교가 밀집된 지역에서 사고가 주로 발생하는 패턴을 발견했습니다. 이러한 지역들은 대부분 횡단보도 주변 300미터 이내에 자전거 전용도로가 없는 것으로 나타났기에, 자전거 전용도로의 설치를 주요 해결책으로 제시했습니다.해당 분석 결과를 발표한 후, 저희 팀은 교내에서 두 번째로 높은 점수를 받을 수 있었습니다. 이 경험을 통해 데이터의 양보다는 분석의 질이 더 중요하다는 것을 깨달았습니다. 또한, 시장을 정확히 이해하고 효과적인 전략을 수립하는 데 필수적인 데이터 분석 역량을 기를 수 있었습니다.[이견 조율과 중재 능력]메타버스 정시 박람회 총괄 중 6개 대학의 부스 배치는 가장 어려운 작업이었습니다. 이를 위해 대학들의 위치 선호도를 1, 2, 3순위로 받아 배분하며, 부스 디자인 마감일 연장이나 특수효과 추가 등의 보상을 제안했습니다. 하지만 두 대학 간의 위치 배치 문제는 더 복잡했습니다. 상담 신청 수가 많은 A 대학과 적은 B 대학 사이의 의견 충돌을 해결하기 위해, A 대학에는 입구 근처 부스를 배치하고, 대기 인원들에게 B 대학 부스 방문을 권유하는 방안을 도입했습니다. 이에 따라 B 대학은 예상보다 50% 더 많은 방문자를 유치할 수 있었고, A 대학도 상담 품질을 유지할 수 있었습니다.이 경험을 통해, 각기 다른 주장을 조율하기 위해 상대방의 입장과 목적을 명확히 파악하는 것의 중요성을 배웠습니다. 앞으로 직무를 수행하며 겪을 갈등 상황에서 상대를 존중하며 해결책을 모색하는 과정은 어렵지만, 이를 직면하고 해결하여 팀워크 강화에 기여하겠습니다.",삼성디스플레이,영업마케팅,2024 상반기,전남대학교,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 로펌 인턴 2개월, 호주 거주(영업직 아르바이트 등) 2년, 현장실습 6개월, 중견기업 영업직 3개월차(지원당시)","학점 4.3/4.5 CJ주관 데이터 분석 대외활동 4개월, 봉사70시간, 대학생법원체험형 프로그램, 대학연합동아리1년, 마케팅대외활동 4개월, 기타프로젝트 2건 기타: SQLD, GTQ2급, 운전면허"
"1. 지원한 직무와 관련하여 본인만이 가지고 있는 차별화된 경쟁력은 무엇이며, 그렇게 생각하는 이유를 기술해 주세요. (700자 이내/ 최소 400자 이상)","[재무분석 능력]아프리카TV의 경영 및 전략기획 직무를 잘 수행하기 위한 차별화된 경쟁력은 재무분석능력입니다. 사업계획을 수립하기 위해 재무 분석이 바탕이 되어야 합니다. 아프리카TV의 내외부 환경을 파악하고 그에 맞는 방향성을 제시하기 위해 데이터에 기반한 분석이 중요하다고 생각합니다.금융기관 인턴으로 158개 기업의 보증서 연장 업무를 수행하면서, 재무제표를 통한 기업신용 분석을 담당했습니다. 자산총계, 당기순이익 등을 통한 재무 구조 확인뿐만 아니라, 미수금이나 유동성 문제에 대한 분석을 통해 현금 흐름을 신속하게 파악했습니다. 또한, 비재무적인 측면에서도 상담과 사업장 방문을 통해 기업 사업성을 종합적으로 평가하며 다각도로 분석하는 능력을 기를 수 있었습니다.또한, 재무 직무부트캠프를 수강하며 매출과 비용 등의 재무 데이터를 분석하며 경영지식을 쌓았습니다. 스타트업 회사의 손익계산서와 현금흐름표를 간접법으로 작성하고 분석하며 미시적인 수치 조정 능력을 증진시켰습니다. 50%로 과도하게 측정되어 있던 마케팅비를 3분기부터 이익이 발생하도록 조정하여 35%로 줄였습니다. 마케팅비용 대신 소비자 페이백 비율을 높여 마케팅 효과를 만들어 전체 매출대비 마케팅비용을 감소시킬 수 있었습니다. 이 과정에서 sumifs나 index, match와 같은 함수의 사용을 익혀 실제 업무에서 어떻게 사용될지 직접 적용했습니다.",아프리카TV,경영 및 전략기획,2024 상반기,건국대,영어영문학,학점 3.67/4.5,토익: 880,사회생활 경험: 공공기관 인턴,"학점 3.67/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급"
2. 본인의 이야기를 형식의 제한 없이 자유롭게 기술해 주세요. (1500자 이내/ 최소 500자 이상),"[문자 시스템 구축으로 업무 효율성 개선]수학 학원 상담실에서 아르바이트할 때 자세한 문자 내용 발송으로 전화 문의율을 감소시켜 업무 효율성을 증대시킨 경험이 있습니다. 학생 등하원 시간이 되면 학부모의 전화문의율이 급증했습니다. 고객의 민원이 몰리는 것은 파악하지 못한 문제가 있다고 생각이 들었고, 고객 만족도 개선을 위해 학부모 문의 내용을 분석했습니다. 그 결과 자녀의 등하원 시간에 대한 관심도가 높고 학생의 잔류 여부에 민감하게 반응한다는 것을 깨달았습니다.먼저, 반 별로 남는 학생의 명단을 파악하여 그룹화하였고, 특성에 맞춘 문자를 발송하여 관리성을 향상했습니다. 또한, 매 타임별 하원 학생을 체크하는 중간 확인과정을 만들었습니다. 학부모의 니즈를 미리 해결하기 위해 문자에 예상하원 시간과 셔틀버스 시간, 잔류 이유를 포함하여 발송했습니다. 그리고 상담 전화와 가정통신문을 통해 앞으로 문자 발송을 통해 학생의 하원관리를 더욱 세세하게 할 것임을 고지했습니다. 그 결과, 등하원시간에 집중되던 전화 문의율이 73% 감소하여 업무 효율성을 향상할 수 있었습니다.이러한 경험을 통해 고객 우선 사고를 중심으로 업무를 수행할 때, 내부적으로도 높은 효율성을 달성하는 동시에 고객의 만족도도 향상되는 결과를 얻을 수 있다는 것을 배웠습니다.[메뉴 위치 재배치와 판매전략으로 판매량 200% 증가]치킨프랜차이즈에서 아르바이트할 때, 주인의식을 갖고 재고관리의 어려움이 있던 치즈의 폐기율을 80% 줄인 경험이 있습니다. 당시 유통기한이 2주로 짧고, 소진되는 양이 적어 치즈의 절반은 버리게 되는 상황이었습니다. 방안을 모색하기 위해 인근 경쟁 치킨업체와 배달 애플리케이션 속 랭킹이 높은 업체를 분석했습니다. ‘추천 메뉴’ 혹은 ‘best메뉴’라고 적힌 상품을 배달 애플리케이션 상위권에 노출되도록 배치하면 주문 수도 비례적으로 증가한다는 것을 깨닫고 벤치마킹을 시도했습니다.먼저 치즈가 들어간 메뉴인 ""칠리치즈치킨""을 맨 앞으로 배치하였고, ""사장 pick!""이라는 문구를 삽입하여 눈길을 끌 수 있는 포인트를 만들었습니다. 벽에도 해당 메뉴를 홍보하는 포스터를 제작하여 붙였습니다. 또한, 직원 식사용으로 할당된 제품을 시식용 상품으로 만들고, 고객에게 평가를 부탁했습니다. 그 과정에서 고객들이 치즈의 양이 더 많았으면 좋겠다는 피드백을 받았습니다. 치즈의 소비량도 증가시키고, 고객 의견을 반영하기 위해 닭이 안보일정도로 치즈를 빼곡하게 뿌려 판매했습니다. 이는 곧 학생들 사이에서 입소문이 퍼져 인기메뉴가 되었습니다. 여러 전략을 실행한 끝에 칠리치즈치킨의 판매량이 200% 증가하였고, 치즈의 소비량도 자연스레 늘어 재고 리스크를 줄일 수 있었습니다.이러한 경험을 통해, 상품에 알맞은 전략을 고민하고 다양한 시도를 하는 것이 중요하다는 것을 배웠습니다. 또한, 스스로 몰입하여 문제를 해결한 경험은 다른 어려운 일이 있어도 도전할 수 있는 밑거름이 되었습니다.",아프리카TV,경영 및 전략기획,2024 상반기,건국대,영어영문학,학점 3.67/4.5,토익: 880,사회생활 경험: 공공기관 인턴,"학점 3.67/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급"
1. 인크로스 또는 해당 직무에 지원한 동기에 대해서 작성해주세요. (500자),"재무 데이터 분석 및 인사이트 도출 능력으로 인크로스의 CF분석에 기여할 수 있다고 생각되어 지원하게 됐습니다. 인크로스는 미디어렙사로서 수수료 이슈 관리와 다양한 포트폴리오를 구성하는 것이 중요하다고 생각됩니다. 또한, 재무직무는 산업을 넓게 보며 세세한 수치를 조정하는 역량을 통해 시너지를 만들 수 있다고 생각합니다. 재무적 지식과 실무 경험을 쌓기 위해 직무부트 캠프에 참가했습니다. 스타트업 회사의 손익계산서와 현금흐름표를 직접 만들고 분석하며 미시적인 숫자 조정 능력을 향상시켰습니다. 50%로 과도하게 측정되어 있던 마케팅비를 ‘광고매출-광고선전비’가 6월 이후 이익이 발생하도록 조정하여 35%로 줄였습니다. 또한, 마케팅비를 줄이는 대신 소비자 페이백 비율을 높여 마케팅 효과를 만들어 전체 매출대비 마케팅비용을 감소시킬 수 있었습니다. 수치조정과 같은 합리적 근거를 내세우며 매출과 비용을 조정하며 전사적 입장에서 어떻게 투자·비용 계획을 세우는지 로직을 파악했습니다.",인크로스,재무,2024 상반기,건동홍,영어영문,학점 3.67/4.5,"토익: 880, 토익스피킹: 160",사회생활 경험: 공기업 인턴,학점 3.67/4.5 컴퓨터활용능력: 1급
2. 자신만의 차별화된 강점과 해당 강점을 발휘하여 성취한 경험에 대해 작성해주세요. (700자),"[팬데믹 속 끝없는 도전]제 강점인 포기하지 않는 근성으로 금융 공공기관에서 인턴 할 때 2달간 밀린 업무를 한 달 만에 처리했던 경험이 있습니다. 처음 인턴 입사 시, 코로나19 감염으로 인해 지점 내 인력이 부족하여 업무를 배우지 못했습니다. 절반이 넘는 인원이 자가격리로 인해 자리를 비운 상태였기 때문입니다. 하지만 어려운 상황에서 자리만 차지하고 있는 것은 인턴으로서의 역할을 하지 못한다고 생각했고, 도움이 되고 싶었습니다. 우선, 안내 책자와 제규정을 정독하고 지점장님께 서류에 접근하기 위해 필요한 권한을 신청하여 업무 범위를 확장했습니다. 그 후 최근 진행된 보증 서류철을 30개 넘게 검토하며 필요한 서류는 무엇인지, 어떤 형식으로 받아야 하는지 파악했습니다. 이 외에 업무 툴을 다루는 방법이나 모르는 사항은 정리해서 상사에게 한 번에 여쭤봤습니다. 최대한 스스로 학습한 후 제가 알고 있는 내용이 맞는 것인지 검토받았습니다.이러한 노력 끝에 업무를 파악하고 배워 두 달간 밀린 보증서 연장건을 한 달 만에 처리할 수 있었습니다. 선배님들을 따라 하며 익힌 전화예절과 서류 스크래핑으로 빠르게 정보를 수집하여 인턴 기간 동안 총 158개 기업의 보증서를 연장했습니다. 생각만 하는 사람은 행동하는 사람을 이길 수 없다는 것을 다시 한번 느끼게 되었고, 포기하지 않는 근성을 발휘하여 조직의 목표달성에 기여할 수 있었습니다.",인크로스,재무,2024 상반기,건동홍,영어영문,학점 3.67/4.5,"토익: 880, 토익스피킹: 160",사회생활 경험: 공기업 인턴,학점 3.67/4.5 컴퓨터활용능력: 1급
"3. 단체의 일원으로서 협업을 진행한 경험과 본인의 역할, 기여도에 대해 구체적으로 작성해주세요. (700자)","[미숙한 중국어 사용으로 협업]중국어 미숙으로 발생한 소통 어려움을 극복하며 협업의 가치를 체감한 경험이 있습니다. 팀 과제에서 제 역할은 모든 팀원의 자료를 통합하여 보고서를 작성하는 것이었고, 중국인 유학생은 자료 조사를 맡았습니다. 그러나 제공된 자료는 부족했습니다. 팀 과제이기에 함께 하는 것이 의미가 있다는 생각과 학우가 다른 수업에서는 더 잘했으면 하는 마음으로 같이 완성하기로 목표를 잡았습니다.먼저 중국인 유학생과 팀프로젝트 경험이 있는 친구들에게 어떻게 과제를 진행했는지 묻고, 참여도를 높일 방법을 고민했습니다. 영어보다 중국어를 사용하면 호의를 얻을 수 있다는 조언에 따라 중국어 기본 회화 애플리케이션을 활용하여 기초 중국어를 학습했습니다. 미숙하지만 번역기와 함께 사용하며 원활한 소통을 도모하여 작은 소통의 벽을 허물 수 있었습니다. 아이디어를 주고받는 등의 과정을 거쳐 2일 안에 자료 수집 및 보고서를 완성했습니다. 또한, 팀 내의 다양성을 활용하여 중국과 한국의 시각 차이를 강조하여 독특한 인사이트를 제공했습니다.이 결과로 교수님으로부터 보고서의 훌륭한 예시로 활용하겠다는 칭찬과 A+ 학점을 받았습니다. 이 경험을 통해 팀원 간의 상호 보완이 협업에서 얼마나 중요한지 깨닫게 되었고, 소통의 중요성 또한 체감할 수 있었습니다. 팀이란 서로 부족한 점을 채워주며 시너지가 발생한다는 것을 배웠습니다.",인크로스,재무,2024 상반기,건동홍,영어영문,학점 3.67/4.5,"토익: 880, 토익스피킹: 160",사회생활 경험: 공기업 인턴,학점 3.67/4.5 컴퓨터활용능력: 1급
"1. 본인을 사물에 빗대어 창의적으로 소개하고, 사물명과 이유를 구체적으로 기재하세요. (350자)","[변] 저는 '변'같은 사람입니다. 냄새나고 더럽지만 우리는 변을 통해 신체의 상태를 점검하고 우리 몸을 건강하게 하는 것처럼, 저는 그런 사람입니다. 교내 체육회장으로서 1년간 역임하며 직접 앞에 나서기보단 뒤에서 부원들이 각자의 역할에서 최고의 역량을 뽐내도록 도왔습니다. 가장 먼저 학교로 와 운동장 상태를 점검하고 홍보팀원들을 위해 동문 축구선수를 전주까지 찾아가 홍보영상을 촬영했습니다. 결과적으로 성공적인 임기를 보낼 수 있었습니다. 조금은 궂은일이더라도 기꺼이 말보단 행동으로 보여주는 저는 변 같은 사람입니다. 거름이 되어 환자들을 꽃피우며 최고의 실력에 온기를 더하는 과정에 함께 하고 싶습니다.",강북삼성병원,행정직,2024 상반기,경희대,지리학,학점 3.38/4.5,오픽: IH,,"학점 3.38/4.5 교내 자치회장, 서포터즈 2회, 행정인턴 1회 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 워드 1급, 1종 대형, 축구심판 5급, 실용글쓰기 3급"
2. 전공 과목 외에 수강한 과목 중 가장 기억에 남는 과목에 대해 이야기해주세요. (350자),"[생명의 통계] 통계 수업을 수강하며 연구 주제를 물색하던 중, 3대 응급환자 중 하나인 중증외상 환자의 절반 이상이 교통사고로 발생한다는 사실을 알게 되었습니다. 통계 프로그램 R을 활용하여 경기도 내 출퇴근 시간대 별 교통사고환자 발생 비율에 따른 효과적인 응급실 운영을 도입해 보고자 연구를 진행하였습니다. 연구를 통해 안타까웠던 점은 경기남부권 지역의 경우 수원, 안양지역 상급병원 개설빈도가 높아 빠른 환자들의 빠른 응급실 도착이 가능했지만 상대적으로 시설이 빈약한 경기 북부의 경우 그렇지 못했습니다. 거주의 차이로 발생하는 의료접근의 차별을 강북삼성병원과 함께 해결하고 싶습니다.",강북삼성병원,행정직,2024 상반기,경희대,지리학,학점 3.38/4.5,오픽: IH,,"학점 3.38/4.5 교내 자치회장, 서포터즈 2회, 행정인턴 1회 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 워드 1급, 1종 대형, 축구심판 5급, 실용글쓰기 3급"
3. 본인이 생각하는 직장인으로서의 비전을 구체적으로 기재하고 그것을 강북삼성병원에서 어떻게 실현할 수 있는지 서술하세요. (350자),"[삶의 영역] 직장인으로서의 비전은 삶의 영역이 온전하게 보전되는 것입니다. 영업사원으로서 사람 만나기를 좋아하셨던 아버지께서는 오래전 십자인대 파열로 수술을 받으셨던 적이 있었습니다. 아버지가 걱정하시던 일은 단순한 건강이 아닌, 혹여나 본인이 앞으로 행하지 못할 고객과의 '약속'에 대한 걱정이셨습니다. 다행히 수술은 무사히 끝났고 아버지는 여전히 즐겁게 일을 하고 계십니다. 병원이란 치료를 통해 사람의 생명을 살리는 차원을 넘어 그 사람의 삶의 가치를 '보전'하는 것이라 생각합니다. 강북삼성병원과 함께 환자들이 건강하게 회복하고 자신의 삶을 온전히 이뤄가는 과정에 함께 일조하고자 합니다.",강북삼성병원,행정직,2024 상반기,경희대,지리학,학점 3.38/4.5,오픽: IH,,"학점 3.38/4.5 교내 자치회장, 서포터즈 2회, 행정인턴 1회 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 워드 1급, 1종 대형, 축구심판 5급, 실용글쓰기 3급"
1. 영업 직무에 필요한 핵심 역량과 이를 키우기 위한 노력,"[고객과 제품에 대한 깊은 이해: 영업 직무의 핵심 역량]영업 직무에서 가장 중요한 역량 중 하나는 바로 `고객과 제품에 대한 깊은 이해`입니다. 호주에서 워킹홀리데이를 보내는 동안, 저는 태양열 패널 영업을 맡게 되어 이를 직접 체험하게 되었습니다. 제가 처음 영업 활동을 시작할 때, 제품과 정부 보조금 지급 체계에 대한 이해 없이 대본만 외워서 고객에게 접근했습니다. 그 결과, 저는 고객을 실적 추구의 수단으로만 보았고, 그로 인해 아무런 성과도 이루지 못했습니다.하지만 저는 이러한 실패를 극복하고자 했습니다. 제 개인적인 시간을 투자하여 제품 설명서와 최신 기사 등을 통해 제품과 정부 보조금 지급 체계에 대한 이해를 높였습니다. 고객이 방문 판매원을 만날 때의 심리를 이해하려 노력하며, 일상적인 이야기부터 시작해서 고객과의 관계를 부드럽게 만드는 방법을 동료들과 연습했습니다. 또한, 첫 만남에서도 고객의 집 구조, 가족 구성원 수 등 여러 요소를 파악하여 최적의 태양열 패널 솔루션을 제안할 수 있도록 상황을 가정하고 질문 응답과 스피치 연습을 반복했습니다.이런 노력과 준비 덕분에, 저는 고객들과 편안한 분위기에서 대화를 나누며 그들의 신뢰를 얻을 수 있었고, 팀 내에서 실적 3위를 기록하는 성과를 이뤄냈습니다. 이 경험을 통해, 고객을 소중한 가족이나 친구로 대해야 한다는 것, 그리고 영업은 사람과 사람 사이의 관계에서 이루어지는 것이므로 고객의 상황과 마음을 이해하고, 제품에 대한 전문성을 갖추어 설명하는 역량이 중요하다는 것을 깨달았습니다. 영업이 단순히 제품을 팔아내는 것이 아니라, 고객과의 신뢰 관계를 구축하고 그들의 필요에 부응하는 최적의 솔루션을 제공하는 일임을 배웠습니다.",한유 SK ETS,글로벌비즈니스팀/BI사업부,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴, 국내 현장실습, 호주 거주 2년","학점 4.3/4.5 마케팅 대외활동 2회, 개발동아리, 봉사 70시간, 성적장학금 기타: SQLD, GTQ, 운전면허"
2. 성격의 장단점,"[장점: 책임감과 계획성]현장실습에서 메타버스 기반 대학 정시 박람회 프로젝트를 성공적으로 총괄하며 강한 책임감과 꼼꼼함을 발휘했습니다. 프로젝트 전체를 관리하는 데 있어, 시간 약속 준수와 업무의 효율성을 우선시하였습니다. 매일 20분 일찍 출근하여 일정을 10분 단위로 세분화하며, `해야 할 사항`, `완료한 사항`, 그리고 `미처 처리하지 못한 사항`으로 작업을 구분하고 철저히 관리하였습니다. 철저하게 시간 약속을 지킨 덕분에 대학 관계자들의 신뢰를 얻을 수 있었고, 대학별 요구사항 조율에도 큰 도움이 되었습니다. 결과적으로 예정보다 하루 앞서 메타버스 맵을 완성하고, 관계자들과 충분한 실전 연습을 통해 박람회를 성공적으로 마칠 수 있었습니다.[단점: 강한 목표지향적 성향]강한 목표지향적인 성향을 가지고 있어, 때로는 과욕이 될 때도 있었습니다. CJ 리모트 인턴십에서 자전거 교통사고 해결책 모색 프로젝트를 수행하면서 가능한 많은 공공 데이터를 분석해 보다 정교한 결론 도출을 목표로 하였습니다. 하지만 프로젝트의 주제와 부합하지 않는 결과만 도출되며 프로젝트의 진행을 방해했습니다. 결국 핵심 데이터만 분석하며 원하는 결과를 도출할 수 있었습니다. 이 경험을 통해 과도한 목표 지향성이 때로는 문제를 야기할 수 있음을 깨달았고, 현실적인 상황을 고려해 목표를 설정하는 법을 배울 수 있었습니다.",한유 SK ETS,글로벌비즈니스팀/BI사업부,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴, 국내 현장실습, 호주 거주 2년","학점 4.3/4.5 마케팅 대외활동 2회, 개발동아리, 봉사 70시간, 성적장학금 기타: SQLD, GTQ, 운전면허"
